"시도(1)","시군구(1)","시점","항목","레벨01(1)",데이터
"부산","계","2020. 04","자가용","승용",1082388
"부산","계","2020. 04","자가용","승합",35730
"부산","계","2020. 04","자가용","화물",152113
"부산","계","2020. 04","자가용","특수",1612
"부산","계","2020. 04","영업용","승용",77499
"부산","계","2020. 04","영업용","승합",6189
"부산","계","2020. 04","영업용","화물",33611
"부산","계","2020. 04","영업용","특수",8849
"대구","계","2020. 04","관용","승용",1070
"대구","계","2020. 04","관용","승합",899
"대구","계","2020. 04","관용","화물",1351
"대구","계","2020. 04","관용","특수",120
"대구","계","2020. 04","자가용","승용",974220
"대구","계","2020. 04","자가용","승합",26538
"대구","계","2020. 04","자가용","화물",140086
"대구","계","2020. 04","자가용","특수",1044
"대구","계","2020. 04","영업용","승용",26464
"대구","계","2020. 04","영업용","승합",4063
"대구","계","2020. 04","영업용","화물",18998
"대구","계","2020. 04","영업용","특수",1971
"광주","계","2020. 04","관용","승용",801
"광주","계","2020. 04","관용","승합",598
"광주","계","2020. 04","관용","화물",725
"광주","계","2020. 04","관용","특수",77
"광주","계","2020. 04","자가용","승용",550606
"광주","계","2020. 04","자가용","승합",17251
"광주","계","2020. 04","자가용","화물",78849
"광주","계","2020. 04","자가용","특수",900
"광주","계","2020. 04","영업용","승용",15035
"광주","계","2020. 04","영업용","승합",2495
"광주","계","2020. 04","영업용","화물",12975
"광주","계","2020. 04","영업용","특수",1815
"대전","계","2020. 04","관용","승용",678
"대전","계","2020. 04","관용","승합",529
"대전","계","2020. 04","관용","화물",633
"대전","계","2020. 04","관용","특수",77
"대전","계","2020. 04","자가용","승용",553809
"대전","계","2020. 04","자가용","승합",18201
"대전","계","2020. 04","자가용","화물",74638
"대전","계","2020. 04","자가용","특수",858
"대전","계","2020. 04","영업용","승용",14180
"대전","계","2020. 04","영업용","승합",2153
"대전","계","2020. 04","영업용","화물",11446
"대전","계","2020. 04","영업용","특수",1635
"울산","계","2020. 04","관용","승용",686
"울산","계","2020. 04","관용","승합",429
"울산","계","2020. 04","관용","화물",647
"울산","계","2020. 04","관용","특수",42
"울산","계","2020. 04","자가용","승용",470633
"울산","계","2020. 04","자가용","승합",12502
"울산","계","2020. 04","자가용","화물",61494
"울산","계","2020. 04","자가용","특수",649
"울산","계","2020. 04","영업용","승용",7924
"울산","계","2020. 04","영업용","승합",1979
